Event,Venue,Date,Time,Tickets Sold,Revenue (EUR)
Opening Ceremony,Stade de France,2024-07-26,20:00,75000,3750000
100m Men's Final,Stade de France,2024-08-03,19:00,60000,4200000
Basketball Final,Bercy Arena,2024-08-04,21:00,18000,2700000
Gymnastics All-Around,Bercy Arena,2024-07-30,18:00,20000,3000000
Swimming 200m Freestyle,Aquatics Centre,2024-07-28,17:30,15000,2250000
Tennis Final,Roland-Garros Stadium,2024-08-05,15:00,14000,2100000
Closing Ceremony,Stade de France,2024-08-11,20:00,75000,3750000
Beach Volleyball,Eiffel Tower Stadium,2024-08-01,12:00,12000,1800000
Cycling Road Race,Trocadéro,2024-07-29,10:00,18000,2700000
Marathon,Invalides,2024-08-06,08:00,50000,2500000
